[00:00] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:01] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:02] Temp: 31.0°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:03] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:04] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:05] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:06] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:07] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:08] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:09] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:10] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:11] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:12] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:13] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:14] Temp: 30.8°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:15] Temp: 30.8°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:16] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:17] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:18] Temp: 31.0°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:19] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:20] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:21] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:22] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:23] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:24] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:25] Temp: 30.8°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:26] Temp: 30.8°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:27] Temp: 30.8°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:28] Temp: 30.8°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:29] Temp: 30.7°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:30] Temp: 30.8°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:31] Temp: 30.7°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:32] Temp: 30.7°C, Humidity: 84.0%, Pressure: 977 hPa [LOW TEMP ❄️, HIGH HUMIDITY 💧]
[00:33] Temp: 30.8°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:34] Temp: 30.8°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:35] Temp: 30.8°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:36] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:37] Temp: 30.8°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:38] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:39] Temp: 30.8°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[00:40] Temp: 30.8°C, Humidity: 84.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[23:35] Temp: 33.0°C, Humidity: 78.0%, Pressure: 978 hPa [LOW HUMIDITY 🏜️]
[23:36] Temp: 33.0°C, Humidity: 78.0%, Pressure: 978 hPa [HIGH TEMP 🔥, LOW HUMIDITY 🏜️]
[23:37] Temp: 33.0°C, Humidity: 78.0%, Pressure: 978 hPa [LOW HUMIDITY 🏜️]
[23:38] Temp: 33.0°C, Humidity: 78.0%, Pressure: 978 hPa [LOW HUMIDITY 🏜️]
[23:39] Temp: 33.0°C, Humidity: 78.0%, Pressure: 978 hPa [LOW HUMIDITY 🏜️]
[23:40] Temp: 33.0°C, Humidity: 78.0%, Pressure: 978 hPa [LOW HUMIDITY 🏜️]
[23:41] Temp: 33.0°C, Humidity: 78.0%, Pressure: 978 hPa [LOW HUMIDITY 🏜️]
[23:42] Temp: 32.9°C, Humidity: 78.0%, Pressure: 978 hPa [LOW HUMIDITY 🏜️]
[23:43] Temp: 32.7°C, Humidity: 78.0%, Pressure: 978 hPa [LOW HUMIDITY 🏜️]
[23:44] Temp: 32.6°C, Humidity: 79.0%, Pressure: 978 hPa
[23:45] Temp: 32.6°C, Humidity: 79.0%, Pressure: 978 hPa
[23:46] Temp: 32.6°C, Humidity: 79.0%, Pressure: 978 hPa
[23:47] Temp: 32.5°C, Humidity: 79.0%, Pressure: 978 hPa
[23:48] Temp: 32.5°C, Humidity: 79.0%, Pressure: 978 hPa
[23:49] Temp: 32.5°C, Humidity: 79.0%, Pressure: 978 hPa
[23:50] Temp: 32.5°C, Humidity: 79.0%, Pressure: 978 hPa
[23:51] Temp: 32.4°C, Humidity: 79.0%, Pressure: 978 hPa
[23:52] Temp: 32.4°C, Humidity: 79.0%, Pressure: 978 hPa
[23:53] Temp: 32.4°C, Humidity: 79.0%, Pressure: 978 hPa
[23:54] Temp: 32.4°C, Humidity: 79.0%, Pressure: 978 hPa
[23:55] Temp: 32.4°C, Humidity: 79.0%, Pressure: 978 hPa
[23:56] Temp: 32.4°C, Humidity: 79.0%, Pressure: 978 hPa
[23:57] Temp: 32.3°C, Humidity: 79.0%, Pressure: 978 hPa
